"Site1","Site2","Diff in Prop","Quarter","Distance","Difference"
"AH1","AH1",0,"July 2021",0,0
"AH2","AH1",3.57142856999999,"July 2021",7.41761615881878,0.0357142856999999
"AH2","AH3",5.40540541,"July 2021",1.73152913269283,0.0540540541
"AH2","DP3",26.47058824,"July 2021",12.9590412579759,0.2647058824
"AH2","EG1",55.55555556,"July 2021",15.4290934922302,0.5555555556
"AH2","EG4",0,"July 2021",15.2122070417365,0
"AH2","SC1",4.87804878,"July 2021",17.3226967179788,0.0487804878
"AH2","ST1",2.63157895000001,"July 2021",18.4385370334453,0.0263157895000001
"AH2","AH2",0,"July 2021",0,0
"AH3","AH1",1.83397684000001,"July 2021",8.548444728214,0.0183397684000001
"AH3","AH3",0,"July 2021",0,0
"DP1","AH1",35.31746032,"July 2021",4.5777116098435,0.3531746032
"DP1","AH3",33.48348348,"July 2021",11.3379691743546,0.3348348348
"DP1","DP3",12.41830065,"July 2021",3.97823193414014,0.1241830065
"DP1","EG1",16.66666667,"July 2021",11.7153729769176,0.1666666667
"DP1","EG4",38.88888889,"July 2021",9.17419129597273,0.3888888889
"DP1","SC1",34.01084011,"July 2021",16.1684169372058,0.3401084011
"DP1","ST1",36.25730994,"July 2021",19.7842335649481,0.3625730994
"DP1","AH2",38.88888889,"July 2021",9.77342569891451,0.3888888889
"DP1","DP2",3.59477123999999,"July 2021",3.78239522404879,0.0359477123999999
"DP1","DP5",31.48148148,"July 2021",3.12429444428437,0.3148148148
"DP1","EG3",38.88888889,"July 2021",6.53953470791857,0.3888888889
"DP1","HE1",36.25730994,"July 2021",17.2348729991124,0.3625730994
"DP1","HP1",3.17460318,"July 2021",19.8279500061077,0.0317460318
"DP1","MP1",16.30824373,"July 2021",2.29336063598142,0.1630824373
"DP1","DP1",0,"July 2021",0,0
"DP2","AH1",31.72268908,"July 2021",5.27462674955729,0.3172268908
"DP2","AH3",29.88871224,"July 2021",13.6370950102872,0.2988871224
"DP2","DP3",8.82352941000001,"July 2021",0.865783180408223,0.0882352941000001
"DP2","EG1",20.26143791,"July 2021",8.78293671751053,0.2026143791
"DP2","EG4",35.29411765,"July 2021",5.68030317768928,0.3529411765
"DP2","SC1",30.41606887,"July 2021",13.7334458598364,0.3041606887
"DP2","ST1",32.6625387,"July 2021",17.9785137801073,0.326625387
"DP2","AH2",35.29411765,"July 2021",12.3044960949953,0.3529411765
"DP2","DP2",0,"July 2021",0,0
"DP3","AH1",22.89915967,"July 2021",6.06868955409293,0.2289915967
"DP3","AH3",21.06518283,"July 2021",14.335436684319,0.2106518283
"DP3","DP3",0,"July 2021",0,0
"DP4","AH1",26.05820106,"July 2021",6.92624215717187,0.2605820106
"DP4","AH3",24.22422422,"July 2021",14.3270573536263,0.2422422422
"DP4","DP3",3.15904139,"July 2021",2.59753499006506,0.0315904139
"DP4","EG1",25.92592593,"July 2021",11.8968879473769,0.2592592593
"DP4","EG4",29.62962963,"July 2021",8.65842960546787,0.2962962963
"DP4","SC1",24.75158085,"July 2021",16.8426725732981,0.2475158085
"DP4","ST1",26.99805068,"July 2021",20.9930295704915,0.2699805068
"DP4","AH2",29.62962963,"July 2021",12.7759035269395,0.2962962963
"DP4","DP2",5.66448802000001,"July 2021",3.11979657083134,0.0566448802000001
"DP4","DP5",22.22222222,"July 2021",0.865846956997958,0.2222222222
"DP4","EG3",29.62962963,"July 2021",6.86679569457611,0.2962962963
"DP4","HE1",26.99805068,"July 2021",18.9723613896313,0.2699805068
"DP4","HP1",6.08465608,"July 2021",20.6001460354315,0.0608465608
"DP4","MP1",7.04898446999999,"July 2021",5.27465857836417,0.0704898446999999
"DP4","DP1",9.25925926,"July 2021",3.00473495615153,0.0925925926
"DP4","DP4",0,"July 2021",0,0
"DP5","AH1",3.83597884000001,"July 2021",7.39501190744997,0.0383597884000001
"DP5","AH3",2.002002,"July 2021",14.4285567299295,0.02002002
"DP5","DP3",19.06318083,"July 2021",3.46338194706282,0.1906318083
"DP5","EG1",48.14814815,"July 2021",12.7481144020013,0.4814814815
"DP5","EG4",7.40740741,"July 2021",9.52427656246387,0.0740740741000001
"DP5","SC1",2.52935863,"July 2021",17.6673109592389,0.0252935863
"DP5","ST1",4.77582846,"July 2021",21.763228101145,0.0477582846
"DP5","AH2",7.40740741,"July 2021",12.8316574079208,0.0740740741000001
"DP5","DP2",27.88671024,"July 2021",3.96565402314262,0.2788671024
"DP5","DP5",0,"July 2021",0,0
"EG1","AH1",51.98412699,"July 2021",9.05347719177127,0.5198412699
"EG1","AH3",50.15015015,"July 2021",15.9126255334189,0.5015015015
"EG1","DP3",29.08496732,"July 2021",9.3593214365259,0.2908496732
"EG1","EG1",0,"July 2021",0,0
