"Site1","Site2","Distance","Rate1","Rate2","Absdiff","Quarter","Month_f"
"AH1","AH3",8.548444728214,66.6666666666667,33.3333333333333,33.3333333333334,"August 2021","August 2021"
"AH1","AH3",8.548444728214,50,0,50,"August 2022","August 2022"
"AH1","AH3",8.548444728214,0,0,0,"July 2021","July 2021"
"AH1","AH3",8.548444728214,0,25,25,"July 2022","July 2022"
"AH1","EG1",9.05347719177127,66.6666666666667,33.3333333333333,33.3333333333334,"August 2021","August 2021"
"AH1","EG1",9.05347719177127,50,33.3333333333333,16.6666666666667,"August 2022","August 2022"
"AH1","EG1",9.05347719177127,0,0,0,"July 2021","July 2021"
"AH1","EG1",9.05347719177127,0,0,0,"July 2022","July 2022"
"AH1","EG4",7.95640969791966,66.6666666666667,50,16.6666666666667,"August 2021","August 2021"
"AH1","EG4",7.95640969791966,50,25,25,"August 2022","August 2022"
"AH1","EG4",7.95640969791966,0,33.3333333333333,33.3333333333333,"July 2021","July 2021"
"AH1","EG4",7.95640969791966,0,50,50,"July 2022","July 2022"
"AH1","DP3",6.06868955409293,66.6666666666667,0,66.6666666666667,"August 2021","August 2021"
"AH1","DP3",6.06868955409293,50,66.6666666666667,16.6666666666667,"August 2022","August 2022"
"AH1","DP3",6.06868955409293,0,100,100,"July 2021","July 2021"
"AH1","DP3",6.06868955409293,0,33.3333333333333,33.3333333333333,"July 2022","July 2022"
"AH1","SC1",12.5794509725667,66.6666666666667,0,66.6666666666667,"August 2021","August 2021"
"AH1","SC1",12.5794509725667,50,25,25,"August 2022","August 2022"
"AH1","SC1",12.5794509725667,0,33.3333333333333,33.3333333333333,"July 2021","July 2021"
"AH1","SC1",12.5794509725667,0,0,0,"July 2022","July 2022"
"AH1","ST1",15.5986420179596,66.6666666666667,0,66.6666666666667,"August 2021","August 2021"
"AH1","ST1",15.5986420179596,50,0,50,"August 2022","August 2022"
"AH1","ST1",15.5986420179596,0,0,0,"July 2021","July 2021"
"AH1","ST1",15.5986420179596,0,33.3333333333333,33.3333333333333,"July 2022","July 2022"
"AH1","EG2",6.074584416801,66.6666666666667,66.6666666666667,0,"August 2021","August 2021"
