"Month","Category.x","Trap.ID","Year","Num.Rest","Num.Pip","PropPip","HexID","Cases","Residual","Category.y","Interpretation","X","Y"
"Jul","Equal","AH1",2021,1,27,96.42857143,4678,1,-0.014,"Equal","Well Predicted, human case",-87.9743228899994,42.0677066660213
"Aug","Equal","AH1",2021,1,35,97.22222222,4678,1,-0.014,"Equal","Well Predicted, human case",-87.9743228899994,42.0677066660213
"Jul","Equal","AH3",2021,2,35,94.59459459,5235,1,0.055,"Equal","Well Predicted, human case",-88.0026825814031,42.1415598992826
"Aug","Equal","AH3",2021,0,33,100,5235,1,0.055,"Equal","Well Predicted, human case",-88.0026825814031,42.1415598992826
"Jul","Equal","DP3",2021,9,25,73.52941176,4313,3,0.033,"Equal","Well Predicted, human case",-87.9283759429873,42.0251884869399
"Aug","Equal","DP3",2021,2,17,89.47368421,4313,3,0.033,"Equal","Well Predicted, human case",-87.9283759429873,42.0251884869399
"Jul","Equal","EG1",2021,20,16,44.44444444,4104,1,0,"Equal","Well Predicted, human case",-88.0366945248371,42.0008616590776
"Aug","Equal","EG1",2021,3,37,92.5,4104,1,0,"Equal","Well Predicted, human case",-88.0366945248371,42.0008616590776
"Jul","Equal","EG4",2021,0,30,100,4073,1,-0.038,"Equal","Well Predicted, human case",-87.9913601211093,41.9973622164887
"Aug","Equal","EG4",2021,0,23,100,4073,1,-0.038,"Equal","Well Predicted, human case",-87.9913601211093,41.9973622164887
"Jul","Equal","SC1",2021,2,39,95.12195122,4135,1,-0.002,"Equal","Well Predicted, human case",-88.1001435358218,42.0041709833251
"Aug","Equal","SC1",2021,0,40,100,4135,1,-0.002,"Equal","Well Predicted, human case",-88.1001435358218,42.0041709833251
"Jul","Equal","ST1",2021,1,37,97.36842105,4334,1,0.024,"Equal","Well Predicted, human case",-88.1548958281844,42.0270325761744
"Aug","Equal","ST1",2021,0,39,100,4334,1,0.024,"Equal","Well Predicted, human case",-88.1548958281844,42.0270325761744
"Jul","Higher","AH2",2021,0,28,100,5181,1,17.057,"Higher","Under predicted, human case",-87.984412113074,42.1339184233628
"Aug","Higher","AH2",2021,0,39,100,5181,1,17.057,"Higher","Under predicted, human case",-87.984412113074,42.1339184233628
"Jul","Higher","DP2",2021,18,33,64.70588235,4346,1,6.967,"Higher","Under predicted, human case",-87.9374916479337,42.0290143197156
"Aug","Higher","DP2",2021,0,31,100,4346,1,6.967,"Higher","Under predicted, human case",-87.9374916479337,42.0290143197156
"Jul","Higher","DP5",2021,2,25,92.59259259,4449,3,1.841,"Higher","Under predicted, human case",-87.8923601417535,42.0410738732118
"Aug","Higher","DP5",2021,1,29,96.66666667,4449,3,1.841,"Higher","Under predicted, human case",-87.8923601417535,42.0410738732118
"Jul","Higher","EG3",2021,0,35,100,4310,1,17.856,"Higher","Under predicted, human case",-87.9827258891665,42.0247359987977
"Aug","Higher","EG3",2021,0,10,100,4310,1,17.856,"Higher","Under predicted, human case",-87.9827258891665,42.0247359987977
"Jul","Higher","HE1",2021,1,37,97.36842105,4636,1,6.481,"Higher","Under predicted, human case",-88.1283423788618,42.0623957358476
"Aug","Higher","HE1",2021,0,35,100,4636,1,6.481,"Higher","Under predicted, human case",-88.1283423788618,42.0623957358476
"Jul","Higher","HP1",2021,5,9,64.28571429,4098,1,5.557,"Higher","Under predicted, human case",-88.1453479117757,41.9998288851505
"Aug","Higher","HP1",2021,1,32,96.96969697,4098,1,5.557,"Higher","Under predicted, human case",-88.1453479117757,41.9998288851505
"Jul","Higher","MP1",2021,7,24,77.41935484,4743,2,4.881,"Higher","Under predicted, human case",-87.9381800668189,42.0758076348324
