"Month (7,8)",Year,Abdomen Species ID,SampleName,Legs,PoolName,InternalNum
July,2021,P,5.MP1.21,4,PJ21.MP1,2
July,2021,P,5.MP1.20,,PJ21.MP1,
July,2021,P,6.MP1.20,,PJ21.MP1,
July,2021,P,7.MP1.20,,PJ21.MP1,
July,2021,P,7.MP1.21,,PJ21.MP1,
July,2021,P,3.DP1.21,,PJ21.DP1,
July,2021,P,6.DP1.21,,PJ21.DP1,
July,2021,P,6.DP1.20,,PJ21.DP1,
July,2021,P,1.DP1.22,,PJ21.DP1,
July,2021,P,6.DP1.22,,PJ21.DP1,
July,2021,P,8.DP3.21,2,PJ21.DP3,1
July,2021,P,2.DP3.20,2,PJ21.DP3,1
July,2021,P,3.DP3.20,3,PJ21.DP3,1
July,2021,P,4.DP3.20,4,PJ21.DP3,1
July,2021,P,6.DP3.20,4,PJ21.DP3,1
July,2021,P,7.DP3.20,5,PJ21.DP3,1
July,2021,P,1.DP3.22,2,PJ21.DP3,1
July,2021,P,4.DP3.22,4,PJ21.DP3,1
July,2021,P,5.DP3.22,4,PJ21.DP3,1
July,2021,P,6.DP3.22,5,PJ21.DP3,1
July,2021,P,7.DP3.22,,PJ21.DP3,
July,2021,P,1.DP4.20,,PJ21.DP4,
July,2021,P,4.DP4.20,,PJ21.DP4,
July,2021,P,5.EG4.20,5,PJ21.EG4,3
July,2021,P,1.EG4.22,3,PJ21.EG4,3
July,2021,P,2.EG4.22,6,PJ21.EG4,3
July,2021,P,4.EG4.22,3,PJ21.EG4,3
July,2021,P,5.EG4.22,3,PJ21.EG4,3
July,2021,P,7.EG4.22,4,PJ21.EG4,3
July,2021,P,1.EG4.21,2,PJ21.EG4,3
July,2021,P,3.EG4.21,5,PJ21.EG4,3
July,2021,P,1.DP5.20,5,PJ21.DP5,2
July,2021,P,3.DP5.20,4,PJ21.DP5,2
July,2021,P,6.DP5.20,2,PJ21.DP5,2
July,2021,P,7.DP5.20,,PJ21.DP5,
July,2021,P,8.DP5.20,,PJ21.DP5,
July,2021,P,3.DP5.21,,PJ21.DP5,
July,2021,P,4.DP5.21,,PJ21.DP5,
July,2021,P,7.EG1.20,,PJ21.EG1,
July,2021,P,2.EG1.21,,PJ21.EG1,
July,2021,P,3.EG1.21,,PJ21.EG1,
July,2021,P,1.EG1.22,,PJ21.EG1,
July,2021,P,2.EG1.22,,PJ21.EG1,
July,2021,S,7.EG1.22,,PJ21.EG1,
July,2021,P,1.EG3.20,6,PJ21.EG3,1
July,2021,P,2.EG3.20,3,PJ21.EG3,1
July,2021,P,3.EG3.20,3,PJ21.EG3,1
July,2021,P,4.EG3.20,2,PJ21.EG3,1
July,2021,P,5.EG3.20,2,PJ21.EG3,1
July,2021,P,6.EG3.20,3,PJ21.EG3,1
July,2021,P,7.EG3.20,3,PJ21.EG3,1
July,2021,P,8.EG3.20,2,PJ21.EG3,1
July,2021,P,1.EG3.21,5,PJ21.EG3,1
July,2021,P,2.EG3.21,5,PJ21.EG3,1
July,2021,P,3.EG3.21,5,PJ21.EG3,3
July,2021,P,5.EG3.21,3,PJ21.EG3,3
July,2021,P,6.EG3.21,3,PJ21.EG3,3
July,2021,P,7.EG3.21,4,PJ21.EG3,3
July,2021,P,4.EG3.22,4,PJ21.EG3,3
July,2021,P,5.EG3.22,3,PJ21.EG3,3
July,2021,P,6.EG3.22,4,PJ21.EG3,3
July,2021,P,7.EG3.22,4,PJ21.EG3,3
July,2021,0-->P,3.EG1.22,,PJ21.EG1,
July,2021,0-->P,5.DP5.20,,PJ21.DP5,
July,2021,P,1.AH1.22,4,PJ21.AH1,2
July,2021,P,3.AH1.22,,PJ21.AH1,
July,2021,P,1.AH1.21,,PJ21.AH1,
July,2021,P,3.AH1.21,,PJ21.AH1,
July,2021,P,5.AH1.21,,PJ21.AH1,
July,2021,P,6.AH1.21,,PJ21.AH1,
July,2021,P,7.AH1.21,,PJ21.AH1,
July,2021,P,5.AH1.20,,PJ21.AH1,
July,2021,P,1.AH2.20,,PJ21.AH2,
July,2021,P,2.AH2.20,,PJ21.AH2,
July,2021,P,4.AH2.20,,PJ21.AH2,
July,2021,P,7.AH2.20,,PJ21.AH2,
July,2021,P,3.AH2.21,,PJ21.AH2,
July,2021,P,2.AH2.22,,PJ21.AH2,
July,2021,P,4.AH2.22,,PJ21.AH2,
July,2021,P,6.AH2.22,,PJ21.AH2,
July,2021,P,3.PH1.20,,PJ21.PH1,
July,2021,P,1.SC1.20,5,PJ21.SC1,1
July,2021,P,2.SC1.20,2,PJ21.SC1,1
July,2021,P,3.SC1.20,5,PJ21.SC1,1
July,2021,P,5.SC1.20,6,PJ21.SC1,1
July,2021,P,6.SC1.20,4,PJ21.SC1,1
July,2021,P,7.SC1.20,3,PJ21.SC1,1
July,2021,P,8.SC1.20,5,PJ21.SC1,1
July,2021,P,2.SC1.21,4,PJ21.SC1,1
July,2021,P,3.SC1.21,5,PJ21.SC1,1
July,2021,P,4.SC1.21,5,PJ21.SC1,1
July,2021,P,5.SC1.21,5,PJ21.SC1,2
July,2021,P,6.SC1.21,4,PJ21.SC1,2
July,2021,P,7.SC1.21,6,PJ21.SC1,2
July,2021,P,1.SC1.22,2,PJ21.SC1,2
July,2021,P,2.SC1.22,3,PJ21.SC1,2
July,2021,P,3.SC1.22,6,PJ21.SC1,2
July,2021,P,4.SC1.22,4,PJ21.SC1,2
July,2021,P,5.SC1.22,3,PJ21.SC1,2
July,2021,P,6.SC1.22,4,PJ21.SC1,2
July,2021,P,7.SC1.22,4,PJ21.SC1,2
July,2021,P,1.HE1.20,4,PJ21.HE1,1
July,2021,P,2.HE1.20,4,PJ21.HE1,1
July,2021,P,3.HE1.20,5,PJ21.HE1,1
July,2021,P,4.HE1.20,5,PJ21.HE1,1
July,2021,P,5.HE1.20,3,PJ21.HE1,1
July,2021,P,7.HE1.20,2,PJ21.HE1,1
July,2021,P,8.HE1.20,2,PJ21.HE1,1
July,2021,P,1.HE1.21,3,PJ21.HE1,1
July,2021,P,2.HE1.21,4,PJ21.HE1,1
July,2021,P,4.HE1.21,3,PJ21.HE1,1
July,2021,P,6.HE1.21,5,PJ21.HE1,3
July,2021,P,7.HE1.21,5,PJ21.HE1,3
July,2021,P,1.HE1.22,4,PJ21.HE1,3
July,2021,P,2.HE1.22,5,PJ21.HE1,3
July,2021,P,3.HE1.22,4,PJ21.HE1,3
July,2021,P,4.HE1.22,4,PJ21.HE1,3
July,2021,P,5.HE1.22,4,PJ21.HE1,3
July,2021,P,6.HE1.22,4,PJ21.HE1,3
July,2021,P,7.HE1.22,4,PJ21.HE1,3
July,2021,P,1.EG2.20,5,PJ21.EG2,1
July,2021,P,2.EG2.20,5,PJ21.EG2,1
July,2021,P,3.EG2.20,5,PJ21.EG2,1
July,2021,P,5.EG2.20,5,PJ21.EG2,1
July,2021,P,7.EG2.20,6,PJ21.EG2,1
July,2021,P,8.EG2.20,4,PJ21.EG2,1
July,2021,P,2.EG2.21,3,PJ21.EG2,1
July,2021,P,3.EG2.21,3,PJ21.EG2,1
July,2021,P,4.EG2.21,3,PJ21.EG2,1
July,2021,P,5.EG2.21,6,PJ21.EG2,1
July,2021,P,6.EG2.21,6,PJ21.EG2,4
July,2021,P,7.EG2.21,5,PJ21.EG2,4
July,2021,P,1.EG2.22,5,PJ21.EG2,4
July,2021,P,2.EG2.22,4,PJ21.EG2,4
July,2021,P,3.EG2.22,4,PJ21.EG2,4
July,2021,P,4.EG2.22,4,PJ21.EG2,4
July,2021,P,5.EG2.22,6,PJ21.EG2,4
July,2021,P,6.EG2.22,3,PJ21.EG2,4
July,2021,P,7.EG2.22,5,PJ21.EG2,4
July,2021,P,1.PR1.21,4,PJ21.PR1,1
July,2021,P,2.PR1.21,4,PJ21.PR1,1
July,2021,P,3.PR1.21,4,PJ21.PR1,1
July,2021,P,4.PR1.21,3,PJ21.PR1,1
July,2021,P,6.PR1.21,5,PJ21.PR1,1
July,2021,P,7.PR1.21,2,PJ21.PR1,1
July,2021,P,8.PR1.21,3,PJ21.PR1,1
July,2021,P,1.PR1.21,5,PJ21.PR1,1
July,2021,P,2.PR1.21,4,PJ21.PR1,1
July,2021,P,3.PR1.21,4,PJ21.PR1,1
July,2021,P,4.PR1.21,,PJ21.PR1,
July,2021,P,6.PR1.21,,PJ21.PR1,
July,2021,P,7.PR1.21,,PJ21.PR1,
July,2021,P,2.PR1.22,,PJ21.PR1,
July,2021,P,2.AH3.20,5,PJ21.AH3,1
July,2021,P,3.AH3.20,6,PJ21.AH3,1
July,2021,P,4.AH3.20,4,PJ21.AH3,1
July,2021,P,5.AH3.20,6,PJ21.AH3,1
July,2021,P,6.AH3.20,4,PJ21.AH3,1
July,2021,P,7.AH3.20,3,PJ21.AH3,1
July,2021,P,8.AH3.20,4,PJ21.AH3,1
July,2021,P,1.AH3.21,4,PJ21.AH3,1
July,2021,P,2.AH3.21,3,PJ21.AH3,1
July,2021,P,3.AH3.21,4,PJ21.AH3,1
July,2021,P,5.AH3.21,5,PJ21.AH3,3
July,2021,P,7.AH3.21,5,PJ21.AH3,3
July,2021,P,1.AH3.22,5,PJ21.AH3,3
July,2021,P,2.AH3.22,5,PJ21.AH3,3
July,2021,P,4.AH3.22,4,PJ21.AH3,3
July,2021,P,5.AH3.22,4,PJ21.AH3,3
July,2021,P,6.AH3.22,5,PJ21.AH3,3
July,2021,P,7.AH3.22,4,PJ21.AH3,3
July,2021,P,1.DP2.20,6,PJ21.DP2,1
July,2021,P,4.DP2.20,3,PJ21.DP2,1
July,2021,P,5.DP2.20,3,PJ21.DP2,1
July,2021,P,8.DP2.20,5,PJ21.DP2,1
July,2021,P,3.DP2.21,5,PJ21.DP2,1
July,2021,P,4.DP2.21,3,PJ21.DP2,1
July,2021,P,5.DP2.21,3,PJ21.DP2,1
July,2021,P,2.DP2.22,3,PJ21.DP2,1
July,2021,P,4.DP2.22,6,PJ21.DP2,1
July,2021,P,5.DP2.22,5,PJ21.DP2,1
July,2021,P,7.DP2.22,,PJ21.DP2,
July,2021,P,3.PR2.20,4,PJ21.PR2,1
July,2021,P,4.PR2.20,6,PJ21.PR2,1
July,2021,P,5.PR2.20,5,PJ21.PR2,1
July,2021,P,6.PR2.20,5,PJ21.PR2,1
July,2021,P,7.PR2.20,5,PJ21.PR2,1
July,2021,P,1.PR2.21,3,PJ21.PR2,1
July,2021,P,2.PR2.21,5,PJ21.PR2,1
July,2021,P,3.PR2.21,4,PJ21.PR2,1
July,2021,P,4.PR2.21,5,PJ21.PR2,1
July,2021,P,5.PR2.21,3,PJ21.PR2,1
July,2021,P,6.PR2.21,6,PJ21.PR2,3
July,2021,P,7.PR2.21,4,PJ21.PR2,3
July,2021,P,1.PR2.21*,3,PJ21.PR2,3
July,2021,P,2.PR2.22,3,PJ21.PR2,3
July,2021,P,6.PR2.21*,4,PJ21.PR2,3
July,2021,P,7.PR2.21*,3,PJ21.PR2,3
July,2021,p,2.PR3.20,6,PJ21.PR3,1
July,2021,p,3.PR3.20,5,PJ21.PR3,1
July,2021,p,4.PR3.20,4,PJ21.PR3,1
July,2021,p,5.PR3.20,5,PJ21.PR3,1
July,2021,p,6.PR3.20,4,PJ21.PR3,1
July,2021,p,8.PR3.20,3,PJ21.PR3,1
July,2021,p,2.PR3.21,6,PJ21.PR3,1
July,2021,p,3.PR3.21,3,PJ21.PR3,1
July,2021,p,5.PR3.21,4,PJ21.PR3,1
July,2021,p,6.PR3.21,4,PJ21.PR3,1
July,2021,p,7.PR3.21,6,PJ21.PR3,3
July,2021,p,1.PR3.22,5,PJ21.PR3,3
July,2021,p,2.PR3.22,5,PJ21.PR3,3
July,2021,p,4.PR3.22,5,PJ21.PR3,3
July,2021,p,5.PR3.22,5,PJ21.PR3,3
July,2021,p,6.PR3.22,6,PJ21.PR3,3
July,2021,p,7.PR3.22,4,PJ21.PR3,3
July,2021,p,1.ST1.20,4,PJ21.ST1,1
July,2021,p,2.ST1.20,5,PJ21.ST1,1
July,2021,p,3.ST1.20,4,PJ21.ST1,1
July,2021,p,4.ST1.20,4,PJ21.ST1,1
July,2021,p,5.ST1.20,4,PJ21.ST1,1
July,2021,p,6.ST1.20,3,PJ21.ST1,1
July,2021,p,7.ST1.20,4,PJ21.ST1,1
July,2021,p,1.ST1.21,4,PJ21.ST1,1
July,2021,p,2.ST1.21,6,PJ21.ST1,1
July,2021,p,3.ST1.21,5,PJ21.ST1,1
July,2021,p,4.ST1.21,5,PJ21.ST1,2
July,2021,p,5.ST1.21,5,PJ21.ST1,2
July,2021,p,6.ST1.21,3,PJ21.ST1,2
July,2021,p,7.ST1.21,3,PJ21.ST1,2
July,2021,p,1.ST1.22,5,PJ21.ST1,2
July,2021,p,2.ST1.22,3,PJ21.ST1,2
July,2021,p,3.ST1.22,2,PJ21.ST1,2
July,2021,p,5.ST1.22,2,PJ21.ST1,2
July,2021,p,6.ST1.22,2,PJ21.ST1,2
July,2021,p,7.ST1.22,3,PJ21.ST1,2
July,2021,p,1.MP1.20,3,PJ21.MP1,1
July,2021,p,2.MP1.20,2,PJ21.MP1,1
July,2021,p,3.MP1.20,3,PJ21.MP1,1
July,2021,p,4.MP1.20,4,PJ21.MP1,1
