Month,Category,Hex,Year,Num.Rest,Num.Pip,PropPip
Jul,Equal,AH1,2021,1,27,96.42857143
Aug,Equal,AH1,2021,1,35,97.22222222
Jul,Equal,AH3,2021,2,35,94.59459459
Aug,Equal,AH3,2021,0,33,100
Jul,Equal,DP3,2021,9,25,73.52941176
Aug,Equal,DP3,2021,2,17,89.47368421
Jul,Equal,EG1,2021,20,16,44.44444444
Aug,Equal,EG1,2021,3,37,92.5
Jul,Equal,EG4,2021,0,30,100
Aug,Equal,EG4,2021,0,23,100
Jul,Equal,SC1,2021,2,39,95.12195122
Aug,Equal,SC1,2021,0,40,100
Jul,Equal,ST1,2021,1,37,97.36842105
Aug,Equal,ST1,2021,0,39,100
Jul,Higher,AH2,2021,0,28,100
Aug,Higher,AH2,2021,0,39,100
Jul,Higher,DP2,2021,18,33,64.70588235
Aug,Higher,DP2,2021,0,31,100
Jul,Higher,DP5,2021,2,25,92.59259259
Aug,Higher,DP5,2021,1,29,96.66666667
Jul,Higher,EG3,2021,0,35,100
Aug,Higher,EG3,2021,0,10,100
Jul,Higher,HE1,2021,1,37,97.36842105
Aug,Higher,HE1,2021,0,35,100
Jul,Higher,HP1,2021,5,9,64.28571429
Aug,Higher,HP1,2021,1,32,96.96969697
Jul,Higher,MP1,2021,7,24,77.41935484
Aug,Higher,MP1,2021,0,37,100
Jul,Lower,DP1,2021,7,11,61.11111111
Aug,Lower,DP1,2021,1,38,97.43589744
Jul,Lower,DP4,2021,8,19,70.37037037
Aug,Lower,DP4,2021,1,24,96
Jul,Lower,EG2,2021,0,40,100
Aug,Lower,EG2,2021,0,35,100
Jul,Lower,PH1,2021,6,19,76
Aug,Lower,PH1,2021,0,21,100
Jul,Lower,PR1,2021,2,27,93.10344828
Aug,Lower,PR1,2021,2,27,93.10344828
Jul,Lower,PR2,2021,13,30,69.76744186
Aug,Lower,PR2,2021,0,9,100
Jul,Lower,PR3,2021,4,34,89.47368421
Aug,Lower,PR3,2021,2,30,93.75
Jul,Equal,EG1,2022,10,33,76.74418605
Jul,Lower,PR1,2022,7,35,83.33333333
Jul,Equal,DP3,2022,2,39,95.12195122
Jul,Higher,HP1,2022,5,38,88.37209302
Jul,Higher,MP1,2022,2,41,95.34883721
Jul,Equal,SC1,2022,3,38,92.68292683
Jul,Higher,HE1,2022,0,41,100
Jul,Lower,DP1,2022,5,37,88.0952381
Jul,Lower,PR3,2022,1,43,97.72727273
Jul,Equal,ST1,2022,2,39,95.12195122
Jul,Lower,PH1,2022,3,39,92.85714286
Jul,Lower,DP4,2022,4,40,90.90909091
Jul,Equal,AH1,2022,1,41,97.61904762
Jul,Higher,DP2,2022,1,42,97.6744186
Jul,Equal,AH3,2022,1,42,97.6744186
Jul,Higher,EG3,2022,3,39,92.85714286
Jul,Higher,DP5,2022,2,27,93.10344828
Jul,Equal,EG4,2022,1,43,97.72727273
Jul,Lower,PR2,2022,1,41,97.61904762
Jul,Lower,EG2,2022,2,15,88.23529412
Jul,Higher,AH2,2022,1,43,97.72727273
Aug,Equal,AH1,2022,43,0,100
Aug,Lower,PH1,2022,41,0,100
Aug,Higher,MP1,2022,16,2,88.88888889
Aug,Equal,SC1,2022,42,0,100
Aug,Higher,HP1,2022,42,1,97.6744186
Aug,Higher,AH2,2022,42,0,100
Aug,Higher,HE1,2022,40,2,95.23809524
Aug,Equal,AH3,2022,42,0,100
Aug,Equal,ST1,2022,40,2,95.23809524
Aug,Higher,DP5,2022,41,2,95.34883721
Aug,Equal,EG4,2022,41,1,97.61904762
Aug,Lower,DP1,2022,43,0,100
Aug,Lower,PR3,2022,43,1,97.72727273
Aug,Higher,DP2,2022,42,1,97.6744186
Aug,Lower,EG2,2022,42,2,95.45454545
Aug,Equal,EG1,2022,37,6,86.04651163
Aug,Equal,DP3,2022,42,1,97.6744186
Aug,Lower,PR2,2022,21,1,95.45454545
Aug,Lower,DP4,2022,41,2,95.34883721
Aug,Higher,EG3,2022,40,3,93.02325581
Aug,Lower,PR1,2022,43,1,97.72727273
