Hex,Category,Hex_21,Cat_21
AH1,Equal,AH1,
AH1,Equal,AH3,
AH3,Equal,DP3,
AH3,Equal,EG1,
DP3,Equal,EG4,
DP3,Equal,SC1,
EG1,Equal,ST1,
EG1,Equal,AH2,
EG4,Equal,DP2,
EG4,Equal,DP5,
SC1,Equal,EG3,
SC1,Equal,HE1,
ST1,Equal,HP1,
ST1,Equal,MP1,
AH2,Higher,DP1,
AH2,Higher,DP4,
DP2,Higher,EG2,
DP2,Higher,PH1,
DP5,Higher,PR1,
DP5,Higher,PR2,
EG3,Higher,PR3,
EG3,Higher,,
HE1,Higher,,
HE1,Higher,,
HP1,Higher,,
HP1,Higher,,
MP1,Higher,,
MP1,Higher,,
DP1,Lower,,
DP1,Lower,,
DP4,Lower,,
DP4,Lower,,
EG2,Lower,,
EG2,Lower,,
PH1,Lower,,
PH1,Lower,,
PR1,Lower,,
PR1,Lower,,
PR2,Lower,,
PR2,Lower,,
PR3,Lower,,
PR3,Lower,,
EG1,Equal,,
PR1,Lower,,
DP3,Equal,,
HP1,Higher,,
MP1,Higher,,
SC1,Equal,,
HE1,Higher,,
DP1,Lower,,
PR3,Lower,,
ST1,Equal,,
PH1,Lower,,
DP4,Lower,,
AH1,Equal,,
DP2,Higher,,
AH3,Equal,,
EG3,Higher,,
DP5,Higher,,
EG4,Equal,,
PR2,Lower,,
EG2,Lower,,
AH2,Higher,,
AH1,Equal,,
PH1,Lower,,
MP1,Higher,,
SC1,Equal,,
HP1,Higher,,
AH2,Higher,,
HE1,Higher,,
AH3,Equal,,
ST1,Equal,,
DP5,Higher,,
EG4,Equal,,
DP1,Lower,,
PR3,Lower,,
DP2,Higher,,
EG2,Lower,,
EG1,Equal,,
DP3,Equal,,
PR2,Lower,,
DP4,Lower,,
EG3,Higher,,
PR1,Lower,,
