"Name.x","Species","Hex.x","Category.x","Year","Month","CountMosq","positive"
"PA21.AH1(1)","P","AH1","Equal",2021,"PA",10,1
"PA21.AH1(2)","P","AH1","Equal",2021,"PA",10,0
"PA21.AH1(3)","P","AH1","Equal",2021,"PA",10,1
"PA21.AH2(1)","P","AH2","Higher",2021,"PA",10,0
"PA21.AH2(2)","P","AH2","Higher",2021,"PA",10,0
"PA21.AH2(3)","P","AH2","Higher",2021,"PA",10,0
"PA21.AH3(1)","P","AH3","Equal",2021,"PA",10,0
"PA21.AH3(2)","P","AH3","Equal",2021,"PA",10,0
"PA21.AH3(3)","P","AH3","Equal",2021,"PA",10,1
"PA21.DP1(1)","P","DP1","Lower",2021,"PA",10,0
"PA21.DP1(2)","P","DP1","Lower",2021,"PA",10,0
"PA21.DP1(3)","P","DP1","Lower",2021,"PA",10,0
"PA21.DP2(1)","P","DP2","Higher",2021,"PA",10,0
"PA21.DP2(2)","P","DP2","Higher",2021,"PA",10,0
"PA21.DP2(3)","P","DP2","Higher",2021,"PA",10,1
"PA21.DP3(1)","P","DP3","Equal",2021,"PA",10,0
"PA21.DP4(1)","P","DP4","Lower",2021,"PA",10,0
"PA21.DP4(2)","P","DP4","Lower",2021,"PA",10,0
"PA21.DP5(1)","P","DP5","Higher",2021,"PA",10,1
"PA21.DP5(2)","P","DP5","Higher",2021,"PA",10,1
"PA21.EG1(1)","P","EG1","Equal",2021,"PA",10,0
"PA21.EG1(2)","P","EG1","Equal",2021,"PA",10,1
"PA21.EG1(3)","P","EG1","Equal",2021,"PA",10,0
"PA21.EG2(1)","P","EG2","Lower",2021,"PA",10,1
"PA21.EG2(2)","P","EG2","Lower",2021,"PA",10,1
"PA21.EG2(3)","P","EG2","Lower",2021,"PA",10,0
"PA21.EG3(1)","P","EG3","Higher",2021,"PA",10,0
"PA21.EG4(1)","P","EG4","Equal",2021,"PA",10,0
"PA21.EG4(2)","P","EG4","Equal",2021,"PA",10,1
"PA21.HE1(1)","P","HE1","Higher",2021,"PA",10,0
"PA21.HE1(2)","P","HE1","Higher",2021,"PA",10,0
"PA21.HE1(3)","P","HE1","Higher",2021,"PA",10,0
"PA21.HP1(1)","P","HP1","Higher",2021,"PA",10,1
"PA21.HP1(2)","P","HP1","Higher",2021,"PA",10,1
"PA21.HP1(3)","P","HP1","Higher",2021,"PA",10,0
"PA21.MP1(1)","P","MP1","Higher",2021,"PA",10,1
"PA21.MP1(2)","P","MP1","Higher",2021,"PA",10,1
"PA21.MP1(3)","P","MP1","Higher",2021,"PA",10,0
"PA21.PH1(1)","P","PH1","Lower",2021,"PA",10,1
"PA21.PH1(2)","P","PH1","Lower",2021,"PA",10,1
"PA21.PR1(1)","P","PR1","Lower",2021,"PA",10,1
"PA21.PR1(2)","P","PR1","Lower",2021,"PA",10,0
"PA21.PR3(1)","P","PR3","Lower",2021,"PA",10,0
"PA21.PR3(2)","P","PR3","Lower",2021,"PA",10,0
"PA21.PR3(3)","P","PR3","Lower",2021,"PA",10,1
"PA21.SC1(1)","P","SC1","Equal",2021,"PA",10,0
"PA21.SC1(2)","P","SC1","Equal",2021,"PA",10,0
"PA21.SC1(3)","P","SC1","Equal",2021,"PA",10,0
"PA21.SC1(4)","P","SC1","Equal",2021,"PA",10,0
"PA21.ST1(1)","P","ST1","Equal",2021,"PA",10,0
"PA21.ST1(2)","P","ST1","Equal",2021,"PA",10,0
"PA21.ST1(3)","P","ST1","Equal",2021,"PA",10,0
"PA22.AH1(1)","P","AH1","Equal",2022,"PA",10,1
"PA22.AH1(2)","P","AH1","Equal",2022,"PA",10,0
"PA22.AH1(3)","P","AH1","Equal",2022,"PA",10,0
"PA22.AH1(4)","P","AH1","Equal",2022,"PA",10,1
"PA22.AH2(1)","P","AH2","Higher",2022,"PA",10,1
"PA22.AH2(2)","P","AH2","Higher",2022,"PA",10,0
"PA22.AH2(3)","P","AH2","Higher",2022,"PA",10,0
"PA22.AH2(4)","P","AH2","Higher",2022,"PA",10,0
"PA22.AH3(1)","P","AH3","Equal",2022,"PA",10,0
"PA22.AH3(2)","P","AH3","Equal",2022,"PA",10,0
"PA22.AH3(3)","P","AH3","Equal",2022,"PA",10,0
"PA22.AH3(4)","P","AH3","Equal",2022,"PA",10,0
"PA22.DP1(1)","P","DP1","Lower",2022,"PA",10,0
"PA22.DP1(2)","P","DP1","Lower",2022,"PA",10,0
"PA22.DP1(3)","P","DP1","Lower",2022,"PA",10,0
"PA22.DP1(4)","P","DP1","Lower",2022,"PA",10,0
"PA22.DP2(1)","P","DP2","Higher",2022,"PA",10,1
"PA22.DP2(2)","P","DP2","Higher",2022,"PA",10,1
"PA22.DP2(3)","P","DP2","Higher",2022,"PA",10,0
"PA22.DP2(4)","P","DP2","Higher",2022,"PA",10,0
"PA22.DP3(2)","P","DP3","Equal",2022,"PA",10,1
"PA22.DP3(3)","P","DP3","Equal",2022,"PA",10,1
"PA22.DP3(4)","P","DP3","Equal",2022,"PA",10,0
"PA22.DP4(1)","P","DP4","Lower",2022,"PA",10,0
"PA22.DP4(2)","P","DP4","Lower",2022,"PA",10,0
"PA22.DP4(3)","P","DP4","Lower",2022,"PA",10,1
"PA22.DP4(4)","P","DP4","Lower",2022,"PA",10,0
"PA22.DP5(1)","P","DP5","Higher",2022,"PA",10,0
"PA22.DP5(2)","P","DP5","Higher",2022,"PA",10,0
"PA22.DP5(3)","P","DP5","Higher",2022,"PA",10,0
"PA22.DP5(4)","P","DP5","Higher",2022,"PA",10,0
"PA22.EG1(1)","P","EG1","Equal",2022,"PA",10,0
"PA22.EG1(2)","P","EG1","Equal",2022,"PA",10,1
"PA22.EG1(3)","P","EG1","Equal",2022,"PA",10,0
"PA22.EG2(1)","P","EG2","Lower",2022,"PA",10,0
"PA22.EG2(2)","P","EG2","Lower",2022,"PA",10,0
"PA22.EG2(3)","P","EG2","Lower",2022,"PA",10,0
"PA22.EG2(4)","P","EG2","Lower",2022,"PA",10,0
"PA22.EG3(1)","P","EG3","Higher",2022,"PA",10,1
"PA22.EG3(2)","P","EG3","Higher",2022,"PA",10,0
"PA22.EG3(3)","P","EG3","Higher",2022,"PA",10,0
"PA22.EG3(4)","P","EG3","Higher",2022,"PA",10,0
"PA22.EG4(1)","P","EG4","Equal",2022,"PA",10,1
"PA22.EG4(2)","P","EG4","Equal",2022,"PA",10,0
"PA22.EG4(3)","P","EG4","Equal",2022,"PA",10,0
