PlateVal,Pos,Name,Year,Hex,Internal,Species,Month
822,A1,PJ21.EG2(4),2021,EG2,4,P,PJ
822,B1,PJ21.MP1(1),2021,MP1,1,P,PJ
822,C1,PJ21.DP5(2),2021,DP5,2,P,PJ
822,D1,PA21.AH3(1),2021,AH3,1,P,PA
822,E1,PJ21.ST1(1),2021,ST1,1,P,PJ
822,F1,RJ21.PR2(2),2021,PR2,2,R,RJ
822,G1,RJ21.EG1(1),2021,EG1,1,R,RJ
822,H1,PA21.SC1(4),2021,SC1,4,P,PA
822,A2,PJ21.EG2(4),2021,EG2,4,P,PJ
822,B2,PJ21.MP1(1),2021,MP1,1,P,PJ
822,C2,PJ21.DP5(2),2021,DP5,2,P,PJ
822,D2,PA21.AH3(1),2021,AH3,1,P,PA
822,E2,PJ21.ST1(1),2021,ST1,1,P,PJ
822,F2,RJ21.PR2(2),2021,PR2,2,R,RJ
822,G2,RJ21.EG1(1),2021,EG1,1,R,RJ
822,H2,PA21.SC1(4),2021,SC1,4,P,PA
822,A3,PA21.HP1(1),2021,HP1,1,P,PA
822,B3,RJ21.PH1(1),2021,PH1,1,R,RJ
822,C3,PA21.PR3(2),2021,PR3,2,P,PA
822,D3,PJ21.AH3(1),2021,AH3,1,P,PJ
822,E3,PA21.PR1(2),2021,PR1,2,P,PA
822,F3,PJ21.MP1(2),2021,MP1,2,P,PJ
822,G3,PA21.SC1(2),2021,SC1,2,P,PA
822,H3,RA21.DP4(1),2021,DP4,1,R,RA
822,A4,PA21.HP1(1),2021,HP1,1,P,PA
822,B4,RJ21.PH1(1),2021,PH1,1,R,RJ
822,C4,PA21.PR3(2),2021,PR3,2,P,PA
822,D4,PJ21.AH3(1),2021,AH3,1,P,PJ
822,E4,PA21.PR1(2),2021,PR1,2,P,PA
822,F4,PJ21.MP1(2),2021,MP1,2,P,PJ
822,G4,PA21.SC1(2),2021,SC1,2,P,PA
822,H4,RA21.DP4(1),2021,DP4,1,R,RA
822,A5,RJ21.SC1(1),2021,SC1,1,R,RJ
822,B5,PA21.MP1(3),2021,MP1,3,P,PA
822,C5,PA21.DP1(2),2021,DP1,2,P,PA
822,D5,PA21.ST1(3),2021,ST1,3,P,PA
822,E5,PA21.PH1(1),2021,PH1,1,P,PA
822,F5,PJ21.PR1(1),2021,PR1,1,P,PJ
