"Month","Species","Hex","Category","Year","summed_MQ","Positive","TotalSamples","FracPos","MIR","Category_fac","Month_f"
"August","P","AH1","Equal",2021,30,2,3,0.0666666666666667,66.6666666666667,"Equal","August"
"August","P","AH1","Equal",2022,40,2,4,0.05,50,"Equal","August"
"August","P","AH2","Higher",2021,30,0,3,0,0,"Higher","August"
"August","P","AH2","Higher",2022,40,1,4,0.025,25,"Higher","August"
"August","P","AH3","Equal",2021,30,1,3,0.0333333333333333,33.3333333333333,"Equal","August"
"August","P","AH3","Equal",2022,40,0,4,0,0,"Equal","August"
"August","P","DP1","Lower",2021,30,0,3,0,0,"Lower","August"
"August","P","DP1","Lower",2022,40,0,4,0,0,"Lower","August"
"August","P","DP2","Higher",2021,30,1,3,0.0333333333333333,33.3333333333333,"Higher","August"
"August","P","DP2","Higher",2022,40,2,4,0.05,50,"Higher","August"
"August","P","DP3","Equal",2021,10,0,1,0,0,"Equal","August"
"August","P","DP3","Equal",2022,30,2,3,0.0666666666666667,66.6666666666667,"Equal","August"
"August","P","DP4","Lower",2021,20,0,2,0,0,"Lower","August"
"August","P","DP4","Lower",2022,40,1,4,0.025,25,"Lower","August"
"August","P","DP5","Higher",2021,20,2,2,0.1,100,"Higher","August"
"August","P","DP5","Higher",2022,40,0,4,0,0,"Higher","August"
"August","P","EG1","Equal",2021,30,1,3,0.0333333333333333,33.3333333333333,"Equal","August"
"August","P","EG1","Equal",2022,30,1,3,0.0333333333333333,33.3333333333333,"Equal","August"
"August","P","EG2","Lower",2021,30,2,3,0.0666666666666667,66.6666666666667,"Lower","August"
"August","P","EG2","Lower",2022,40,0,4,0,0,"Lower","August"
"August","P","EG3","Higher",2021,10,0,1,0,0,"Higher","August"
"August","P","EG3","Higher",2022,40,1,4,0.025,25,"Higher","August"
"August","P","EG4","Equal",2021,20,1,2,0.05,50,"Equal","August"
"August","P","EG4","Equal",2022,40,1,4,0.025,25,"Equal","August"
"August","P","HE1","Higher",2021,30,0,3,0,0,"Higher","August"
"August","P","HE1","Higher",2022,40,1,4,0.025,25,"Higher","August"
"August","P","HP1","Higher",2021,30,2,3,0.0666666666666667,66.6666666666667,"Higher","August"
"August","P","HP1","Higher",2022,40,1,4,0.025,25,"Higher","August"
"August","P","MP1","Higher",2021,30,2,3,0.0666666666666667,66.6666666666667,"Higher","August"
"August","P","MP1","Higher",2022,10,0,1,0,0,"Higher","August"
"August","P","PH1","Lower",2021,20,2,2,0.1,100,"Lower","August"
"August","P","PH1","Lower",2022,40,2,4,0.05,50,"Lower","August"
"August","P","PR1","Lower",2021,20,1,2,0.05,50,"Lower","August"
"August","P","PR1","Lower",2022,40,1,4,0.025,25,"Lower","August"
"August","P","PR2","Lower",2022,20,0,2,0,0,"Lower","August"
"August","P","PR3","Lower",2021,30,1,3,0.0333333333333333,33.3333333333333,"Lower","August"
"August","P","PR3","Lower",2022,40,0,4,0,0,"Lower","August"
"August","P","SC1","Equal",2021,40,0,4,0,0,"Equal","August"
"August","P","SC1","Equal",2022,40,1,4,0.025,25,"Equal","August"
"August","P","ST1","Equal",2021,30,0,3,0,0,"Equal","August"
"August","P","ST1","Equal",2022,20,0,2,0,0,"Equal","August"
"July","P","AH1","Equal",2021,20,0,2,0,0,"Equal","July"
"July","P","AH1","Equal",2022,40,0,4,0,0,"Equal","July"
"July","P","AH2","Higher",2021,20,0,2,0,0,"Higher","July"
"July","P","AH2","Higher",2022,40,2,4,0.05,50,"Higher","July"
"July","P","AH3","Equal",2021,30,0,3,0,0,"Equal","July"
"July","P","AH3","Equal",2022,40,1,4,0.025,25,"Equal","July"
"July","P","DP1","Lower",2022,30,0,3,0,0,"Lower","July"
"July","P","DP2","Higher",2021,30,1,3,0.0333333333333333,33.3333333333333,"Higher","July"
"July","P","DP2","Higher",2022,40,0,4,0,0,"Higher","July"
"July","P","DP3","Equal",2021,20,2,2,0.1,100,"Equal","July"
"July","P","DP3","Equal",2022,30,1,3,0.0333333333333333,33.3333333333333,"Equal","July"
"July","P","DP4","Lower",2021,10,1,1,0.1,100,"Lower","July"
"July","P","DP4","Lower",2022,40,0,4,0,0,"Lower","July"
"July","P","DP5","Higher",2021,20,0,2,0,0,"Higher","July"
"July","P","DP5","Higher",2022,20,1,2,0.05,50,"Higher","July"
"July","P","EG1","Equal",2021,10,0,1,0,0,"Equal","July"
"July","P","EG1","Equal",2022,30,0,3,0,0,"Equal","July"
"July","P","EG2","Lower",2021,40,3,4,0.075,75,"Lower","July"
"July","P","EG2","Lower",2022,10,0,1,0,0,"Lower","July"
"July","P","EG3","Higher",2021,30,1,3,0.0333333333333333,33.3333333333333,"Higher","July"
"July","P","EG3","Higher",2022,30,0,3,0,0,"Higher","July"
"July","P","EG4","Equal",2021,30,1,3,0.0333333333333333,33.3333333333333,"Equal","July"
"July","P","EG4","Equal",2022,40,2,4,0.05,50,"Equal","July"
"July","P","HE1","Higher",2021,30,0,3,0,0,"Higher","July"
"July","P","HE1","Higher",2022,40,0,4,0,0,"Higher","July"
"July","P","HP1","Higher",2022,30,1,3,0.0333333333333333,33.3333333333333,"Higher","July"
"July","P","MP1","Higher",2021,20,0,2,0,0,"Higher","July"
"July","P","MP1","Higher",2022,40,0,4,0,0,"Higher","July"
"July","P","PH1","Lower",2021,10,0,1,0,0,"Lower","July"
"July","P","PH1","Lower",2022,30,0,3,0,0,"Lower","July"
"July","P","PR1","Lower",2021,20,1,2,0.05,50,"Lower","July"
"July","P","PR1","Lower",2022,30,1,3,0.0333333333333333,33.3333333333333,"Lower","July"
"July","P","PR2","Lower",2021,30,0,3,0,0,"Lower","July"
"July","P","PR2","Lower",2022,40,0,4,0,0,"Lower","July"
"July","P","PR3","Lower",2021,30,0,3,0,0,"Lower","July"
"July","P","PR3","Lower",2022,40,0,4,0,0,"Lower","July"
"July","P","SC1","Equal",2021,30,1,3,0.0333333333333333,33.3333333333333,"Equal","July"
"July","P","SC1","Equal",2022,30,0,3,0,0,"Equal","July"
"July","P","ST1","Equal",2021,30,0,3,0,0,"Equal","July"
"July","P","ST1","Equal",2022,30,1,3,0.0333333333333333,33.3333333333333,"Equal","July"
"August","R","AH1","Equal",2021,1,0,1,0,0,"Equal","August"
"August","R","DP1","Lower",2021,1,0,1,0,0,"Lower","August"
"August","R","DP2","Higher",2022,1,0,1,0,0,"Higher","August"
"August","R","DP3","Equal",2021,2,0,1,0,0,"Equal","August"
"August","R","DP3","Equal",2022,1,0,1,0,0,"Equal","August"
"August","R","DP4","Lower",2021,1,0,1,0,0,"Lower","August"
