FullName,CountMosq
PJ22.AH2(2),10
PJ22.AH2(3),10
PJ22.AH3(1),10
PJ22.DP1(2),10
PJ22.DP4(2),10
PJ22.HE1(1),10
PJ22.MP1(4),10
PJ22.PR2(1),10
PJ22.PR2(2),10
PA22.AH2(4),10
PA22.AH3(4),10
PA22.DP3(4),10
PA22.DP4(1),10
PA22.EG4(4),10
PA22.HE1(3),10
PA22.PR1(3),10
PA22.SC1(4),10
PJ22.DP2(4),10
PJ22.DP4(3),10
PJ22.EG1(1),10
PJ22.EG4(2),10
PJ22.HE1(2),10
PJ22.HP1(1),10
PA22.AH2(1),10
PA22.AH3(2),10
PA22.DP1(1),10
PA22.DP1(2),10
PA22.DP2(3),10
PA22.DP3(3),10
PA22.DP5(3),10
PA22.DP5(4),10
PA22.EG2(3),10
PA22.HE1(4),10
PA22.MP1(1),10
PA22.PR1(4),10
PJ22.AH3(4),10
PA22.EG2(4),10
PA22.EG2(1),10
PJ22.MP1(2),10
PJ22.EG4(4),10
PA22.EG2(2),10
PA22.DP1(3),10
PA22.EG1(1),10
PA22.PR1(2),10
PJ22.EG1(3),10
PJ22.PR1(3),10
PA22.EG1(3),10
PA22.HP1(3),10
PA22.HE1(2),10
PA22.SC1(3),10
PA22.PR3(4),10
PJ22.DP3(2),10
PJ22.AH1(2),10
PJ22.PH1(3),10
PJ22.EG2(1),10
PA22.PR3(1),10
PA22.EG3(4),10
PJ22.DP2(1),10
PJ22.EG4(1),10
PJ22.HE1(3),10
PJ22.ST1(1),10
PA22.EG1(2),10
PA22.AH3(3),10
PJ22.DP5(1),10
PA22.EG3(2),10
PJ22.PR1(1),10
PA22.PH1(1),10
PJ22.AH1(1),10
PJ22.SC1(3),10
PJ22.EG4(3),10
PA22.PH1(4),10
PA22.AH1(3),10
PJ22.SC1(1),10
PJ22.PR3(1),10
PA22.PR2(2),10
PJ22.DP2(2),10
PA22.HP1(4),10
PJ22.AH3(3),10
PJ22.SC1(2),10
PA22.HP1(2),10
PJ22.HP1(2),10
PA22.DP5(1),10
PJ22.PR3(2),10
PA22.EG3(3),10
PA22.DP4(4),10
PJ22.ST1(2),10
PJ22.MP1(3),10
PJ22.EG3(3),10
PA22.HP1(1),10
PA22.AH2(3),10
PA22.AH3(1),10
PA22.AH2(2),10
PJ22.AH1(4),10
PA22.AH1(4),10
PJ22.DP5(2),10
PA22.ST1(4),10
PA22.DP2(2),10
PA22.DP2(4),10
PJ22.PH1(2),10
PA22.DP5(2),10
PJ22.MP1(1),10
PA22.PR1(1),10
PJ22.HE1(4),10
PA22.ST1(3),10
PA22.AH1(2),10
PA22.PR3(3),10
PA22.SC1(1),10
PJ22.PR3(3),10
PA22.DP4(3),10
PJ22.DP4(1),10
PA22.DP3(2),10
PA22.EG4(1),10
PJ22.AH2(4),10
PJ22.DP1(1),10
PJ22.AH1(3),10
PA22.DP4(2),10
PJ22.DP1(3),10
PA22.DP2(1),10
PA22.AH1(1),10
PJ22.PR1(2),10
PJ22.AH3(2),10
PJ22.DP3(3),10
PA22.PH1(3),10
PA22.EG3(1),10
PJ22.DP2(3),10
PA22.PH1(2),10
PJ22.AH2(1),10
PA22.PR2(1),10
PA22.SC1(2),10
PJ22.PH1(1),10
PJ22.PR2(3),10
PJ22.EG3(2),10
PJ22.HP1(3),10
PA22.HE1(1),10
PJ22.EG3(1),10
PA22.EG4(3),10
PA22.EG4(2),10
PJ22.PR3(4),10
PA22.DP1(4),10
PJ22.DP4(4),10
PA22.PR3(2),10
PJ22.PR2(4),10
PJ22.ST1(3),10
PJ22.EG1(2),10
PJ22.DP3(1),10
PJ21.EG2(4),10
PJ21.MP1(1),10
PJ21.DP5(2),10
PA21.AH3(1),10
PJ21.ST1(1),10
PA21.SC1(4),10
PA21.HP1(1),10
PA21.PR3(2),10
PJ21.AH3(1),10
PA21.PR1(2),10
PJ21.MP1(2),10
PA21.SC1(2),10
PA21.MP1(3),10
PA21.DP1(2),10
PA21.ST1(3),10
PA21.PH1(1),10
PJ21.PR1(1),10
PA21.EG1(3),10
PA21.DP2(2),10
PJ21.ST1(3),10
PA21.DP1(1),10
PJ21.EG3(2),10
PA21.HE1(3),10
PJ21.EG1(1),10
PJ21.EG3(1),10
PJ21.SC1(1),10
PA21.DP2(1),10
PA21.EG2(2),10
PA21.EG1(1),10
PA21.DP2(3),10
PJ21.DP3(2),10
PA21.DP4(1),10
PJ21.PR2(2),10
PA21.EG4(1),10
PA21.HP1(2),10
PJ21.AH3(2),10
PJ21.EG2(1),10
PJ21.AH2(1),10
PJ21.EG4(2),10
PA21.AH3(3),10
PA21.DP3(1),10
PJ21.AH1(2),10
PJ21.EG4(1),10
PJ21.EG2(2),10
PJ21.AH3(3),10
PJ21.EG3(3),10
PA21.PH1(2),10
PA21.HP1(3),10
PA21.DP5(2),10
PJ21.DP4(1),10
PA21.AH2(3),10
PA21.AH2(2),10
PA21.DP1(3),10
PJ21.SC1(3),10
PA21.DP5(1),10
PA21.SC1(1),10
PA21.EG2(1),10
PJ21.DP2(2),10
PJ21.PR1(2),10
PA21.MP1(1),10
PJ21.PH1(1),10
PJ21.HE1(2),10
PJ21.DP3(1),10
PA21.DP4(2),10
PA21.AH1(2),10
PJ21.EG4(3),10
PJ21.HE1(1),10
PA21.AH1(3),10
PA21.PR3(3),10
PA21.AH3(2),10
PJ21.AH2(2),10
