Month,Year,Sample Depth,Category
Jul,2021,28,Equal
Aug,2021,36,Equal
Jul,2021,37,Equal
Aug,2021,33,Equal
Jul,2021,34,Equal
Aug,2021,19,Equal
Jul,2021,36,Equal
Aug,2021,40,Equal
Jul,2021,30,Equal
Aug,2021,23,Equal
Jul,2021,41,Equal
Aug,2021,40,Equal
Jul,2021,38,Equal
Aug,2021,39,Equal
Jul,2021,28,Higher
Aug,2021,39,Higher
Jul,2021,51,Higher
Aug,2021,31,Higher
Jul,2021,27,Higher
Aug,2021,30,Higher
Jul,2021,35,Higher
Aug,2021,10,Higher
Jul,2021,38,Higher
Aug,2021,35,Higher
Jul,2021,14,Higher
Aug,2021,33,Higher
Jul,2021,31,Higher
Aug,2021,37,Higher
Jul,2021,18,Lower
Aug,2021,39,Lower
Jul,2021,27,Lower
Aug,2021,25,Lower
Jul,2021,40,Lower
Aug,2021,35,Lower
Jul,2021,25,Lower
Aug,2021,21,Lower
Jul,2021,29,Lower
Aug,2021,29,Lower
Jul,2021,43,Lower
Aug,2021,9,Lower
Jul,2021,38,Lower
Aug,2021,32,Lower
Jul,2022,43,Equal
Jul,2022,42,Lower
Jul,2022,41,Equal
Jul,2022,43,Higher
Jul,2022,43,Higher
Jul,2022,41,Equal
Jul,2022,41,Higher
Jul,2022,42,Lower
Jul,2022,44,Lower
Jul,2022,41,Equal
Jul,2022,42,Lower
Jul,2022,44,Lower
Jul,2022,42,Equal
Jul,2022,43,Higher
Jul,2022,43,Equal
Jul,2022,42,Higher
Jul,2022,29,Higher
Jul,2022,44,Equal
Jul,2022,42,Lower
Jul,2022,17,Lower
Jul,2022,44,Higher
Aug,2022,43,Equal
Aug,2022,41,Lower
Aug,2022,18,Higher
Aug,2022,42,Equal
Aug,2022,43,Higher
Aug,2022,42,Higher
Aug,2022,42,Higher
Aug,2022,42,Equal
Aug,2022,42,Equal
Aug,2022,43,Higher
Aug,2022,42,Equal
Aug,2022,43,Lower
Aug,2022,44,Lower
Aug,2022,43,Higher
Aug,2022,44,Lower
Aug,2022,43,Equal
Aug,2022,43,Equal
Aug,2022,22,Lower
Aug,2022,43,Lower
Aug,2022,43,Higher
Aug,2022,44,Lower
